ID,Response
332,Love of children
336,"Working with children, helping those with troubles or learning difficulties."
341,The opportunity to work with students. The time off during the year that I could use to spend with my future children.
343,Enjoyment of teaching/working with kids. Good teachers.
345,Ability to help others. My passion for learning.
346,"High school math teacher, head football coach, head baseball coaches: role models"
348,I have an aptitude for working with kids.
349,I thought I could make a difference.
352,I enjoy being around kids and making a difference for them.
353,"Love for children, role models, positive student teaching experience."
356,"Disillusionment with educational consultants, desire to ""give back"" to community."
358,The calendar schedule. Ability to work when my children are at school and be home with them too.
364,"As I said, as a child I decided I wanted to be a teacher, but I wanted to be a good mother first. Teaching is the best fit with motherhood."
368,The idea that I could take my learned skills and apply them to successful teaching strategies.
372,"I wanted to make a difference in children's lives. I had some very good teachers while I was going through school, but I also had some very poor teachers. I felt the need to become a teacher so that I could make a difference not only in the classroom but"
378,"Coaching, summer off, vacations, opportunity to work with kids."
397,I had good teachers in school. They had the biggest influence. I always wanted to work with students. Having major holidays did not hurt either.
399,"Opportunity, interest, working with young people."
